gene	transcript	entrez	ensemblGene	ensemblTranscript	chrom	start	end	strand
SRC	NM_198291.3	6714	ENSG00000197122.13	ENST00000373578.7	chr20	37346140	37406050	+
SRD5A1	NM_001047.4	6715	ENSG00000145545.13	ENST00000274192.7	chr5	6633440	6674386	+
SRD5A2	NM_000348.4	6716	ENSG00000277893.2	ENST00000622030.2	chr2	31522480	31580938	-
SRI	NM_003130.4	6717	ENSG00000075142.14	ENST00000265729.7	chr7	88205115	88220038	-
AKR1D1	NM_005989.4	6718	ENSG00000122787.15	ENST00000242375.8	chr7	138076459	138118305	+
SREBF1	NM_004176.5	6720	ENSG00000072310.18	ENST00000261646.11	chr17	17811334	17836986	-
SREBF2	NM_004599.4	6721	ENSG00000198911.13	ENST00000361204.9	chr22	41833105	41907305	+
SRF	NM_003131.4	6722	ENSG00000112658.8	ENST00000265354.6	chr6	43171269	43181506	+
SRM	NM_003132.3	6723	ENSG00000116649.10	ENST00000376957.7	chr1	11054589	11060018	-
SRMS	NM_080823.4	6725	ENSG00000125508.4	ENST00000217188.2	chr20	63538489	63547749	-
SRP9	NM_003133.6	6726	ENSG00000143742.14	ENST00000304786.12	chr1	225777826	225790464	+
SRP14	NM_003134.6	6727	ENSG00000140319.11	ENST00000267884.11	chr15	40035690	40039181	-
SRP19	NM_003135.3	6728	ENSG00000153037.15	ENST00000505459.6	chr5	112861287	112869788	+
SRP54	NM_003136.4	6729	ENSG00000100883.13	ENST00000216774.11	chr14	34982992	35029567	+
SRP68	NM_014230.4	6730	ENSG00000167881.15	ENST00000307877.7	chr17	76038785	76072517	-
SRP72	NM_006947.4	6731	ENSG00000174780.17	ENST00000642900.1	chr4	56467617	56503681	+
SRPK1	NM_003137.5	6732	ENSG00000096063.16	ENST00000373825.7	chr6	35832966	35921098	-
SRPK2	NM_182692.3	6733	ENSG00000135250.17	ENST00000393651.8	chr7	105116374	105388921	-
SRPRA	NM_003139.4	6734	ENSG00000182934.12	ENST00000332118.11	chr11	126262938	126268895	-
SRY	NM_003140.3	6736	ENSG00000184895.8	ENST00000383070.2	chr24	2786855	2787682	-
TRIM21	NM_003141.4	6737	ENSG00000132109.10	ENST00000254436.8	chr11	4384897	4393702	-
RO60	NM_001173524.2	6738	ENSG00000116747.13	ENST00000400968.7	chr1	193059612	193091219	+
SSB	NM_003142.5	6741	ENSG00000138385.16	ENST00000260956.9	chr2	169798871	169812064	+
SSBP1	NM_003143.3	6742	ENSG00000106028.11	ENST00000265304.11	chr7	141738358	141750488	+
ITPRID2	NM_001130445.3	6744	ENSG00000138434.17	ENST00000431877.7	chr2	181891730	181930738	+
SSR1	NM_003144.5	6745	ENSG00000124783.14	ENST00000244763.9	chr6	7281143	7313199	-
SSR2	NM_003145.4	6746	ENSG00000163479.14	ENST00000295702.9	chr1	156009048	156020951	-
SSR3	NM_007107.5	6747	ENSG00000114850.7	ENST00000265044.7	chr3	156539553	156555117	-
SSR4	NM_006280.3	6748	ENSG00000180879.14	ENST00000370086.8	chr23	153794668	153798499	+
SSRP1	NM_003146.3	6749	ENSG00000149136.9	ENST00000278412.7	chr11	57325988	57335892	-
SST	NM_001048.4	6750	ENSG00000157005.4	ENST00000287641.4	chr3	187668912	187670394	-
SSTR1	NM_001049.3	6751	ENSG00000139874.6	ENST00000267377.3	chr14	38207904	38213067	+
SSTR2	NM_001050.3	6752	ENSG00000180616.9	ENST00000357585.4	chr17	73165010	73176633	+
SSTR3	NM_001051.5	6753	ENSG00000278195.2	ENST00000610913.2	chr22	37204237	37212477	-
SSTR4	NM_001052.4	6754	ENSG00000132671.6	ENST00000255008.5	chr20	23035312	23039237	+
SSTR5	NM_001172560.3	6755	ENSG00000162009.10	ENST00000689027.1	chr16	1072747	1081454	+
SSX1	NM_005635.4	6756	ENSG00000126752.8	ENST00000376919.4	chr23	48255392	48267444	+
SSX2	NM_175698.4	6757	ENSG00000241476.9	ENST00000337502.6	chr23	52696896	52707178	-
SSX5	NM_175723.2	6758	ENSG00000165583.16	ENST00000347757.6	chr23	48186220	48196795	-
SSX4	NM_005636.4	6759	ENSG00000268009.6	ENST00000595689.3	chr23	48383539	48393347	+
SS18	NM_001007559.3	6760	ENSG00000141380.14	ENST00000415083.7	chr18	26016253	26090613	-
DENND2B	NM_213618.2	6764	ENSG00000166444.19	ENST00000313726.11	chr11	8693352	8810674	-
ST13	NM_003932.5	6767	ENSG00000100380.15	ENST00000216218.8	chr22	40824535	40856639	-
ST14	NM_021978.4	6768	ENSG00000149418.11	ENST00000278742.6	chr11	130159782	130210362	+
STAC	NM_003149.3	6769	ENSG00000144681.11	ENST00000273183.8	chr3	36380504	36548007	+
STAR	NM_000349.3	6770	ENSG00000147465.12	ENST00000276449.9	chr8	38142700	38150952	-
STAT1	NM_007315.4	6772	ENSG00000115415.21	ENST00000361099.8	chr2	190969149	191014171	-
STAT2	NM_005419.4	6773	ENSG00000170581.15	ENST00000314128.9	chr12	56341597	56360107	-
STAT3	NM_139276.3	6774	ENSG00000168610.17	ENST00000264657.10	chr17	42313324	42388442	-
STAT4	NM_003151.4	6775	ENSG00000138378.20	ENST00000392320.7	chr2	191029576	191150994	-
STAT5A	NM_001288718.2	6776	ENSG00000126561.18	ENST00000590949.6	chr17	42288498	42311943	+
STAT5B	NM_012448.4	6777	ENSG00000173757.11	ENST00000293328.8	chr17	42199177	42276391	-
STAT6	NM_003153.5	6778	ENSG00000166888.13	ENST00000300134.8	chr12	57095408	57111362	-
STATH	NM_003154.3	6779	ENSG00000126549.11	ENST00000246895.9	chr4	69995966	70002570	+
STAU1	NM_017453.4	6780	ENSG00000124214.21	ENST00000371856.7	chr20	49113339	49188334	-
STC1	NM_003155.3	6781	ENSG00000159167.12	ENST00000290271.7	chr8	23841929	23854806	-
HSPA13	NM_006948.5	6782	ENSG00000155304.6	ENST00000285667.4	chr21	14371115	14383146	-
SULT1E1	NM_005420.3	6783	ENSG00000109193.12	ENST00000226444.4	chr4	69841212	69860145	-
ELOVL4	NM_022726.4	6785	ENSG00000118402.6	ENST00000369816.5	chr6	79914814	79947553	-
STIM1	NM_001382567.1	6786	ENSG00000167323.13	ENST00000526596.2	chr11	3855664	4093208	+
NEK4	NM_003157.6	6787	ENSG00000114904.13	ENST00000233027.10	chr3	52708444	52770940	-
STK3	NM_006281.4	6788	ENSG00000104375.17	ENST00000419617.7	chr8	98454633	98825688	-
STK4	NM_006282.5	6789	ENSG00000101109.14	ENST00000372806.8	chr20	44966512	45080021	+
AURKA	NM_198437.3	6790	ENSG00000087586.18	ENST00000395915.8	chr20	56369390	56392215	-
CDKL5	NM_001323289.2	6792	ENSG00000008086.13	ENST00000623535.2	chr23	18425608	18640196	+
STK10	NM_005990.4	6793	ENSG00000072786.13	ENST00000176763.10	chr5	172042079	172188224	-
STK11	NM_000455.5	6794	ENSG00000118046.18	ENST00000326873.12	chr19	1205778	1228431	+
AURKC	NM_001015878.2	6795	ENSG00000105146.14	ENST00000302804.12	chr19	57231023	57235548	+
SULT1A2	NM_001054.4	6799	ENSG00000197165.11	ENST00000335715.9	chr16	28591943	28597050	-
STRN	NM_003162.4	6801	ENSG00000115808.13	ENST00000263918.9	chr2	36837698	36966536	-
STX1A	NM_004603.4	6804	ENSG00000106089.12	ENST00000222812.8	chr7	73699210	73719669	-
STX3	NM_004177.5	6809	ENSG00000166900.17	ENST00000337979.9	chr11	59755376	59805878	+
STX4	NM_004604.5	6810	ENSG00000103496.15	ENST00000313843.8	chr16	31033558	31040164	+
STX5	NM_003164.5	6811	ENSG00000162236.13	ENST00000294179.8	chr11	62806860	62832051	-
STXBP1	NM_001032221.6	6812	ENSG00000136854.26	ENST00000373299.5	chr9	127612277	127692699	+
STXBP2	NM_006949.4	6813	ENSG00000076944.18	ENST00000221283.10	chr19	7637110	7647873	+
STXBP3	NM_007269.4	6814	ENSG00000116266.11	ENST00000370008.4	chr1	108746674	108809523	+
STYX	NM_145251.4	6815	ENSG00000198252.12	ENST00000354586.5	chr14	52730166	52774989	+
SULT1A1	NM_001055.4	6817	ENSG00000196502.15	ENST00000314752.12	chr16	28605258	28610044	-
SULT1A3	NM_177552.4	6818	ENSG00000261052.6	ENST00000338971.10	chr16	30199255	30204310	+
SULT1C2	NM_001056.4	6819	ENSG00000198203.10	ENST00000251481.11	chr2	108288895	108309915	+
SULT2B1	NM_177973.2	6820	ENSG00000088002.12	ENST00000201586.7	chr19	48552172	48599423	+
SUOX	NM_001032386.2	6821	ENSG00000139531.13	ENST00000266971.8	chr12	55997276	56005525	+
SULT2A1	NM_003167.4	6822	ENSG00000105398.4	ENST00000222002.4	chr19	47870467	47886315	-
SUPT4H1	NM_003168.3	6827	ENSG00000213246.7	ENST00000225504.8	chr17	58345178	58352201	-
SUPT5H	NM_001111020.3	6829	ENSG00000196235.14	ENST00000432763.7	chr19	39445582	39476670	+
SUPT6H	NM_003170.5	6830	ENSG00000109111.15	ENST00000314616.11	chr17	28662205	28702679	+
SUPV3L1	NM_003171.5	6832	ENSG00000156502.14	ENST00000359655.9	chr10	69180234	69209093	+
ABCC8	NM_000352.6	6833	ENSG00000006071.16	ENST00000389817.8	chr11	17392885	17476845	-
SURF1	NM_003172.4	6834	ENSG00000148290.10	ENST00000371974.8	chr9	133351758	133356487	-
SURF2	NM_017503.5	6835	ENSG00000148291.10	ENST00000371964.5	chr9	133356550	133361158	+
SURF4	NM_033161.4	6836	ENSG00000148248.14	ENST00000371989.8	chr9	133361464	133376060	-
MED22	NM_133640.5	6837	ENSG00000148297.16	ENST00000343730.10	chr9	133338312	133348131	-
SURF6	NM_006753.6	6838	ENSG00000148296.7	ENST00000372022.6	chr9	133328776	133336188	-
SUV39H1	NM_003173.4	6839	ENSG00000101945.17	ENST00000376687.4	chr23	48696734	48709016	+
SVIL	NM_021738.3	6840	ENSG00000197321.16	ENST00000355867.9	chr10	29457338	29634971	-
VAMP1	NM_014231.5	6843	ENSG00000139190.17	ENST00000396308.4	chr12	6462237	6470677	-
VAMP2	NM_014232.3	6844	ENSG00000220205.10	ENST00000316509.11	chr17	8159149	8162948	-
VAMP7	NM_005638.6	6845	ENSG00000124333.16	ENST00000286448.12	chr23	155881345	155943769	+
XCL2	NM_003175.4	6846	ENSG00000143185.4	ENST00000367819.3	chr1	168540768	168543997	-
SYCP1	NM_003176.4	6847	ENSG00000198765.12	ENST00000369522.8	chr1	114854863	114995370	+
SYK	NM_003177.7	6850	ENSG00000165025.15	ENST00000375754.9	chr9	90801819	90898549	+
SYN1	NM_006950.3	6853	ENSG00000008056.14	ENST00000295987.13	chr23	47571901	47619857	-
SYN2	NM_133625.6	6854	ENSG00000157152.17	ENST00000621198.5	chr3	12004388	12192032	+
SYP	NM_003179.3	6855	ENSG00000102003.12	ENST00000263233.9	chr23	49187815	49200193	-
SYPL1	NM_182715.4	6856	ENSG00000008282.10	ENST00000455385.7	chr7	106090505	106112312	-
SYT1	NM_005639.3	6857	ENSG00000067715.15	ENST00000261205.9	chr12	78864774	79452008	+
SYT4	NM_020783.4	6860	ENSG00000132872.12	ENST00000255224.8	chr18	43267892	43277490	-
SYT5	NM_003180.3	6861	ENSG00000129990.15	ENST00000354308.8	chr19	55171196	55180289	-
TBXT	NM_001366285.2	6862	ENSG00000164458.10	ENST00000366876.7	chr6	166157656	166167851	-
TAC1	NM_003182.3	6863	ENSG00000006128.12	ENST00000319273.10	chr7	97732086	97740472	+
TACR2	NM_001057.3	6865	ENSG00000075073.16	ENST00000373306.5	chr10	69403903	69416918	-
TAC3	NM_013251.4	6866	ENSG00000166863.13	ENST00000458521.7	chr12	57010000	57016529	-
TACC1	NM_006283.3	6867	ENSG00000147526.20	ENST00000317827.9	chr8	38787236	38853028	+
ADAM17	NM_003183.6	6868	ENSG00000151694.15	ENST00000310823.8	chr2	9488486	9555830	-
TACR1	NM_001058.4	6869	ENSG00000115353.11	ENST00000305249.10	chr2	75046463	75199520	-
TACR3	NM_001059.3	6870	ENSG00000169836.5	ENST00000304883.3	chr4	103586031	103719985	-
TADA2A	NM_001166105.3	6871	ENSG00000276234.5	ENST00000615182.5	chr17	37406886	37479725	+
TAF1	NM_004606.5	6872	ENSG00000147133.18	ENST00000423759.6	chr23	71366357	71466005	+
TAF2	NM_003184.4	6873	ENSG00000064313.13	ENST00000378164.7	chr8	119730774	119832841	-
TAF4	NM_003185.4	6874	ENSG00000130699.20	ENST00000252996.9	chr20	61974798	62065881	-
TAF4B	NM_005640.3	6875	ENSG00000141384.13	ENST00000269142.10	chr18	26226445	26391685	+
TAGLN	NM_003186.5	6876	ENSG00000149591.17	ENST00000392951.9	chr11	117199370	117207464	+
TAF5	NM_006951.5	6877	ENSG00000148835.12	ENST00000369839.4	chr10	103367976	103389065	+
TAF6	NM_139315.3	6878	ENSG00000106290.16	ENST00000453269.7	chr7	100107070	100119358	-
TAF7	NM_005642.3	6879	ENSG00000178913.9	ENST00000313368.8	chr5	141318490	141320784	-
TAF9	NM_003187.5	6880	ENSG00000273841.6	ENST00000217893.10	chr5	69364743	69369520	-
TAF10	NM_006284.4	6881	ENSG00000166337.11	ENST00000299424.9	chr11	6606294	6612216	-
TAF11	NM_005643.4	6882	ENSG00000064995.19	ENST00000361288.9	chr6	34877462	34888042	-
TAF12	NM_005644.4	6883	ENSG00000120656.14	ENST00000373824.9	chr1	28602850	28643067	-
TAF13	NM_005645.4	6884	ENSG00000197780.11	ENST00000338366.6	chr1	109064140	109076003	-
MAP3K7	NM_145331.3	6885	ENSG00000135341.19	ENST00000369329.8	chr6	90513579	90587072	-
TAL1	NM_001290403.2	6886	ENSG00000162367.12	ENST00000691006.1	chr1	47216291	47232225	-
TAL2	NM_005421.3	6887	ENSG00000186051.7	ENST00000334077.6	chr9	105662457	105663124	+
TALDO1	NM_006755.2	6888	ENSG00000177156.11	ENST00000319006.8	chr11	747464	765012	+
TAP1	NM_000593.6	6890	ENSG00000168394.13	ENST00000354258.5	chr6	32845209	32853704	-
TAP2	NM_001290043.2	6891	ENSG00000204267.19	ENST00000374897.4	chr6	32825415	32838739	-
TAPBP	NM_003190.5	6892	ENSG00000231925.14	ENST00000434618.7	chr6	33299694	33314078	-
TARBP1	NM_005646.4	6894	ENSG00000059588.10	ENST00000040877.2	chr1	234391313	234479179	-
TARBP2	NM_134323.2	6895	ENSG00000139546.12	ENST00000266987.7	chr12	53501283	53506431	+
TARS1	NM_152295.5	6897	ENSG00000113407.14	ENST00000265112.8	chr5	33440965	33468086	+
TAT	NM_000353.3	6898	ENSG00000198650.11	ENST00000355962.5	chr16	71565660	71577092	-
TBX1	NM_001379200.1	6899	ENSG00000184058.16	ENST00000649276.2	chr22	19760778	19767334	+
CNTN2	NM_005076.5	6900	ENSG00000184144.12	ENST00000331830.7	chr1	205043212	205078289	+
TAFAZZIN	NM_000116.5	6901	ENSG00000102125.17	ENST00000601016.6	chr23	154411539	154421726	+
TBCA	NM_004607.3	6902	ENSG00000171530.15	ENST00000380377.9	chr5	77691166	77776339	-
TBCC	NM_003192.3	6903	ENSG00000124659.7	ENST00000372876.2	chr6	42744498	42746103	-
TBCD	NM_005993.5	6904	ENSG00000141556.22	ENST00000355528.9	chr17	82752065	82945914	+
TBCE	NM_003193.5	6905	ENSG00000284770.2	ENST00000642610.2	chr1	235367427	235452443	+
SERPINA7	NM_000354.6	6906	ENSG00000123561.15	ENST00000372563.2	chr23	106032435	106038727	-
TBL1X	NM_005647.4	6907	ENSG00000101849.18	ENST00000645353.2	chr23	9465058	9719740	+
TBP	NM_003194.5	6908	ENSG00000112592.15	ENST00000392092.7	chr6	170554369	170572859	+
TBX2	NM_005994.4	6909	ENSG00000121068.14	ENST00000240328.4	chr17	61399843	61409466	+
TBX5	NM_181486.4	6910	ENSG00000089225.20	ENST00000405440.7	chr12	114353911	114406144	-
TBX6	NM_004608.4	6911	ENSG00000149922.12	ENST00000395224.7	chr16	30085793	30091924	-
TBX15	NM_001330677.2	6913	ENSG00000092607.15	ENST00000369429.5	chr1	118883047	118988343	-
TBXA2R	NM_001060.6	6915	ENSG00000006638.13	ENST00000375190.10	chr19	3594507	3606875	-
TBXAS1	NM_001061.7	6916	ENSG00000059377.19	ENST00000448866.7	chr7	139829264	140020293	+
TCEA1	NM_006756.4	6917	ENSG00000187735.16	ENST00000521604.7	chr8	53966556	54022448	-
TCEA2	NM_003195.6	6919	ENSG00000171703.17	ENST00000343484.10	chr20	64063198	64072347	+
TCEA3	NM_003196.3	6920	ENSG00000204219.11	ENST00000450454.7	chr1	23380909	23424748	-
ELOC	NM_005648.4	6921	ENSG00000154582.18	ENST00000520242.6	chr8	73945119	73972191	-
ELOB	NM_007108.4	6923	ENSG00000103363.16	ENST00000409906.9	chr16	2771414	2777280	-
ELOA	NM_003198.3	6924	ENSG00000011007.13	ENST00000613537.5	chr1	23743471	23762059	+
TCF4	NM_001083962.2	6925	ENSG00000196628.20	ENST00000354452.8	chr18	55222185	55588192	-
TBX3	NM_005996.4	6926	ENSG00000135111.16	ENST00000349155.7	chr12	114670255	114684175	-
HNF1A	NM_000545.8	6927	ENSG00000135100.19	ENST00000257555.11	chr12	120978543	121002512	+
HNF1B	NM_000458.4	6928	ENSG00000275410.6	ENST00000617811.5	chr17	37686431	37745059	-
TCF3	NM_003200.5	6929	ENSG00000071564.19	ENST00000262965.12	chr19	1609292	1652615	-
TCF7	NM_003202.5	6932	ENSG00000081059.20	ENST00000342854.10	chr5	134114681	134148210	+
TCF7L2	NM_001367943.1	6934	ENSG00000148737.18	ENST00000355995.9	chr10	112950247	113167678	+
ZEB1	NM_001174096.2	6935	ENSG00000148516.23	ENST00000424869.6	chr10	31319216	31529804	+
GCFC2	NM_003203.5	6936	ENSG00000005436.14	ENST00000321027.8	chr2	75662705	75710915	-
TCF12	NM_207037.2	6938	ENSG00000140262.18	ENST00000333725.10	chr15	56918644	57289853	+
TCF15	NM_004609.4	6939	ENSG00000125878.7	ENST00000246080.4	chr20	604257	610309	-
ZNF354A	NM_005649.3	6940	ENSG00000169131.13	ENST00000335815.7	chr5	178711512	178730659	-
TCF19	NM_007109.3	6941	ENSG00000137310.13	ENST00000376257.8	chr6	31158589	31164215	+
TCF20	NM_001378418.1	6942	ENSG00000100207.21	ENST00000677622.1	chr22	42160013	42270653	-
TCF21	NM_003206.4	6943	ENSG00000118526.7	ENST00000367882.5	chr6	133889113	133892257	+
VPS72	NM_005997.3	6944	ENSG00000163159.15	ENST00000368892.9	chr1	151176304	151190197	-
MLX	NM_198204.2	6945	ENSG00000108788.12	ENST00000435881.7	chr17	42567100	42573203	+
TCN1	NM_001062.4	6947	ENSG00000134827.8	ENST00000257264.4	chr11	59852808	59866487	-
TCN2	NM_000355.4	6948	ENSG00000185339.10	ENST00000215838.8	chr22	30607174	30627271	+
TCOF1	NM_001371623.1	6949	ENSG00000070814.22	ENST00000643257.2	chr5	150357697	150400293	+
TCP1	NM_030752.3	6950	ENSG00000120438.12	ENST00000321394.12	chr6	159778498	159789602	-
TCP11	NM_001370687.1	6954	ENSG00000124678.20	ENST00000311875.11	chr6	35118075	35141339	-
TECTB	NM_058222.3	6975	ENSG00000119913.6	ENST00000646139.2	chr10	112283400	112305038	+
TCTA	NM_022171.3	6988	ENSG00000145022.5	ENST00000273590.4	chr3	49412423	49416476	+
DYNLT3	NM_006520.3	6990	ENSG00000165169.11	ENST00000378578.9	chr23	37838836	37847571	-
DYNLT2	NM_174910.3	6991	ENSG00000184786.6	ENST00000366774.4	chr6	169740109	169751572	-
PPP1R11	NM_021959.3	6992	ENSG00000204619.8	ENST00000376772.8	chr6	30067198	30070333	+
DYNLT1	NM_006519.4	6993	ENSG00000146425.11	ENST00000367089.8	chr6	158636474	158644743	-
TDG	NM_003211.6	6996	ENSG00000139372.15	ENST00000392872.8	chr12	103965872	103988874	+
CRIPTO	NM_003212.4	6997	ENSG00000241186.10	ENST00000296145.6	chr3	46577788	46582457	+
CRIPTO3	NM_001397362.1	6998	ENSG00000225366.6	ENST00000602699.2	chr23	110520896	110523021	+
TDO2	NM_005651.4	6999	ENSG00000151790.9	ENST00000536354.3	chr4	155903696	155920406	+
PRDX2	NM_005809.6	7001	ENSG00000167815.12	ENST00000301522.3	chr19	12796823	12801800	-
TEAD1	NM_021961.6	7003	ENSG00000187079.20	ENST00000527636.7	chr11	12674421	12944737	+
TEAD4	NM_003213.4	7004	ENSG00000197905.10	ENST00000359864.8	chr12	2959397	3040676	+
TEAD3	NM_003214.4	7005	ENSG00000007866.22	ENST00000338863.13	chr6	35473597	35497079	-
TEC	NM_003215.3	7006	ENSG00000135605.13	ENST00000381501.8	chr4	48135783	48269838	-
TECTA	NM_005422.4	7007	ENSG00000109927.11	ENST00000392793.6	chr11	121101243	121191490	+
TEF	NM_003216.4	7008	ENSG00000167074.15	ENST00000266304.9	chr22	41381942	41399326	+
TMBIM6	NM_003217.3	7009	ENSG00000139644.13	ENST00000267115.10	chr12	49741557	49764934	+
TEK	NM_000459.5	7010	ENSG00000120156.22	ENST00000380036.10	chr9	27109225	27230174	+
TEP1	NM_007110.5	7011	ENSG00000129566.13	ENST00000262715.10	chr14	20365667	20413501	-
TERC	NR_001566.3	7012	ENSG00000270141.5	ENST00000602385.3	chr3	169764610	169765060	-
TERF1	NM_017489.3	7013	ENSG00000147601.15	ENST00000276603.10	chr8	73008864	73048123	+
TERF2	NM_005652.5	7014	ENSG00000132604.11	ENST00000254942.8	chr16	69355567	69386007	-
TERT	NM_198253.3	7015	ENSG00000164362.21	ENST00000310581.10	chr5	1253167	1295068	-
TESK1	NM_006285.3	7016	ENSG00000107140.17	ENST00000336395.6	chr9	35605262	35610033	+
TF	NM_001063.4	7018	ENSG00000091513.16	ENST00000402696.9	chr3	133746393	133796641	+
TFAM	NM_003201.3	7019	ENSG00000108064.11	ENST00000487519.6	chr10	58385410	58399220	+
TFAP2A	NM_001372066.1	7020	ENSG00000137203.15	ENST00000379613.10	chr6	10396677	10415074	-
TFAP2B	NM_003221.4	7021	ENSG00000008196.13	ENST00000393655.4	chr6	50818871	50847619	+
TFAP2C	NM_003222.4	7022	ENSG00000087510.7	ENST00000201031.3	chr20	56629306	56639283	+
TFAP4	NM_003223.3	7023	ENSG00000090447.12	ENST00000204517.11	chr16	4257186	4273023	-
TFCP2	NM_005653.5	7024	ENSG00000135457.11	ENST00000257915.10	chr12	51093656	51173135	-
NR2F1	NM_005654.6	7025	ENSG00000175745.15	ENST00000327111.8	chr5	93583222	93594611	+
NR2F2	NM_021005.4	7026	ENSG00000185551.15	ENST00000394166.8	chr15	96330700	96340258	+
TFDP1	NM_007111.5	7027	ENSG00000198176.13	ENST00000375370.10	chr13	113584753	113641473	+
TFDP2	NM_001178139.2	7029	ENSG00000114126.18	ENST00000489671.6	chr3	141944428	142149544	-
TFE3	NM_006521.6	7030	ENSG00000068323.17	ENST00000315869.8	chr23	49028726	49043357	-
TFF1	NM_003225.3	7031	ENSG00000160182.3	ENST00000291527.3	chr21	42362282	42366535	-
TFF2	NM_005423.5	7032	ENSG00000160181.9	ENST00000291526.5	chr21	42346357	42350994	-
TFF3	NM_003226.4	7033	ENSG00000160180.17	ENST00000518498.3	chr21	42311667	42315409	-
TFPI	NM_006287.6	7035	ENSG00000003436.16	ENST00000233156.9	chr2	187464230	187554435	-
TFR2	NM_003227.4	7036	ENSG00000106327.13	ENST00000223051.8	chr7	100620420	100641552	-
TFRC	NM_001128148.3	7037	ENSG00000072274.14	ENST00000360110.9	chr3	196049284	196082090	-
TG	NM_003235.5	7038	ENSG00000042832.12	ENST00000220616.9	chr8	132866958	133134899	+
TGFA	NM_003236.4	7039	ENSG00000163235.16	ENST00000295400.11	chr2	70447284	70553826	-
TGFB1	NM_000660.7	7040	ENSG00000105329.11	ENST00000221930.6	chr19	41330323	41353922	-
TGFB1I1	NM_001042454.3	7041	ENSG00000140682.19	ENST00000394863.8	chr16	31472152	31477958	+
TGFB2	NM_003238.6	7042	ENSG00000092969.12	ENST00000366930.9	chr1	218345336	218444619	+
TGFB3	NM_003239.5	7043	ENSG00000119699.8	ENST00000238682.8	chr14	75958097	75981995	-
LEFTY2	NM_003240.5	7044	ENSG00000143768.13	ENST00000366820.10	chr1	225936603	225941220	-
TGFBI	NM_000358.3	7045	ENSG00000120708.17	ENST00000442011.7	chr5	136028988	136063818	+
TGFBR1	NM_004612.4	7046	ENSG00000106799.15	ENST00000374994.9	chr9	99105113	99154192	+
TGM4	NM_003241.4	7047	ENSG00000163810.13	ENST00000296125.9	chr3	44874608	44914990	+
TGFBR2	NM_003242.6	7048	ENSG00000163513.20	ENST00000295754.10	chr3	30606601	30694142	+
TGFBR3	NM_003243.5	7049	ENSG00000069702.11	ENST00000212355.9	chr1	91680343	91886151	-
TGIF1	NM_003244.4	7050	ENSG00000177426.22	ENST00000343820.10	chr18	3450172	3459978	+
TGM1	NM_000359.3	7051	ENSG00000092295.12	ENST00000206765.11	chr14	24249114	24263177	-
TGM2	NM_004613.4	7052	ENSG00000198959.12	ENST00000361475.7	chr20	38127385	38165270	-
TGM3	NM_003245.4	7053	ENSG00000125780.12	ENST00000381458.6	chr20	2296001	2341079	+
TH	NM_000360.4	7054	ENSG00000180176.15	ENST00000352909.8	chr11	2163929	2171815	-
THBD	NM_000361.3	7056	ENSG00000178726.7	ENST00000377103.3	chr20	23045633	23049672	-
THBS1	NM_003246.4	7057	ENSG00000137801.11	ENST00000260356.6	chr15	39581079	39599466	+
THBS2	NM_003247.5	7058	ENSG00000186340.17	ENST00000617924.6	chr6	169215785	169253846	-
THBS3	NM_007112.5	7059	ENSG00000169231.13	ENST00000368378.7	chr1	155195588	155207897	-
THBS4	NM_003248.6	7060	ENSG00000113296.14	ENST00000350881.6	chr5	80035348	80083287	+
TCHH	NM_007113.4	7062	ENSG00000159450.13	ENST00000614923.2	chr1	152106317	152115444	-
THOP1	NM_003249.5	7064	ENSG00000172009.15	ENST00000307741.11	chr19	2785503	2815807	+
THPO	NM_000460.4	7066	ENSG00000090534.20	ENST00000647395.1	chr3	184371935	184378207	-
THRA	NM_199334.5	7067	ENSG00000126351.13	ENST00000450525.7	chr17	40062965	40093002	+
THRB	NM_001354712.2	7068	ENSG00000151090.20	ENST00000646209.2	chr3	24117153	24494850	-
THRSP	NM_003251.4	7069	ENSG00000151365.2	ENST00000281030.2	chr11	78063861	78068351	+
THY1	NM_006288.5	7070	ENSG00000154096.14	ENST00000284240.10	chr11	119415476	119423172	-
KLF10	NM_005655.4	7071	ENSG00000155090.15	ENST00000285407.11	chr8	102648784	102655725	-
TIA1	NM_022173.4	7072	ENSG00000116001.17	ENST00000433529.7	chr2	70209444	70248628	-
TIAL1	NM_003252.4	7073	ENSG00000151923.18	ENST00000436547.7	chr10	119573465	119596964	-
TIAM1	NM_001353694.2	7074	ENSG00000156299.15	ENST00000541036.6	chr21	31118418	31344261	-
TIE1	NM_005424.5	7075	ENSG00000066056.15	ENST00000372476.8	chr1	43300982	43323108	+
TIMP1	NM_003254.3	7076	ENSG00000102265.12	ENST00000218388.9	chr23	47582436	47586789	+
TIMP2	NM_003255.5	7077	ENSG00000035862.13	ENST00000262768.11	chr17	78852977	78925387	-
TIMP3	NM_000362.5	7078	ENSG00000100234.12	ENST00000266085.7	chr22	32801705	32863041	+
TIMP4	NM_003256.4	7079	ENSG00000157150.5	ENST00000287814.5	chr3	12153068	12158912	-
NKX2-1	NM_001079668.3	7080	ENSG00000136352.20	ENST00000354822.7	chr14	36516397	36520232	-
TJP1	NM_001330239.4	7082	ENSG00000104067.17	ENST00000614355.5	chr15	29700152	29822468	-
TK1	NM_003258.5	7083	ENSG00000167900.13	ENST00000301634.12	chr17	78174091	78187052	-
TK2	NM_004614.5	7084	ENSG00000166548.17	ENST00000544898.6	chr16	66508003	66550122	-
